id,record_id,utility_id_ferc1,report_year,plant_name_ferc1,fuel_type_code_pudl,fuel_unit,fuel_qty_burned,fuel_mmbtu_per_unit,fuel_cost_per_unit_burned,fuel_cost_per_unit_delivered,fuel_cost_per_mmbtu
360,f1_fuel_1994_12_99_1_5,99,1994,greene co.,coal,ton,544421.0,24.218456,34.18,0.0,1.41
361,f1_fuel_1994_12_36_0_7,36,1994,bowline(e),gas,mcf,13169845.0,1.034,239.08,0.0,2.312
362,f1_fuel_1994_12_36_0_13,36,1994,astoria,gas,mcf,29215570.0,1.035,264.12,0.0,2.5513
363,f1_fuel_1994_12_36_1_1,36,1994,roseton (f),gas,mcf,4785708.0,1.016,235.91,0.0,2.3221000000000003
364,f1_fuel_1994_12_36_1_4,36,1994,arthur kill,gas,mcf,7997665.0,1.031,268.79,0.0,2.6061
365,f1_fuel_1994_12_36_1_10,36,1994,ravenswood,gas,mcf,25038832.0,1.036,257.14,0.0,2.4817
366,f1_fuel_1994_12_27_0_1,27,1994,miami fort 5 & 6,coal,ton,330930.0,24.082,34.98,33.31,1.509
367,f1_fuel_1994_12_27_0_4,27,1994,w. c. beckjord 1 - 5,coal,ton,872064.0,23.654,39.5,37.1,1.685
368,f1_fuel_1994_12_27_0_7,27,1994,wcb #6,coal,ton,786202.0,23.45,38.52,36.98,1.649
369,f1_fuel_1994_12_27_0_10,27,1994,w.c. beckjord #6-cge,coal,ton,331752.0,23.456,38.55,37.08,1.649
370,f1_fuel_1994_12_27_1_1,27,1994,j. m. stuart total,coal,ton,6360780.0,22.802,32.77,31.9,1.441
371,f1_fuel_1994_12_27_1_4,27,1994,j.m. stuart cge shar,coal,ton,2490058.0,22.802,32.75,31.89,1.44
372,f1_fuel_1994_12_27_1_7,27,1994,conesville,coal,ton,1286085.0,24.006,45.12,43.23,1.883
373,f1_fuel_1994_12_27_1_10,27,1994,conesville #4 cge,coal,ton,480247.0,24.028000000000002,46.08,44.52,1.921
374,f1_fuel_1994_12_27_2_1,27,1994,miami fort 7&8 total,coal,ton,2357727.0,24.216,37.41,35.64,1.549
375,f1_fuel_1994_12_27_2_4,27,1994,miami fort 7&8 - cge,coal,ton,1516843.0,24.233999999999998,37.52,35.77,1.553
376,f1_fuel_1994_12_27_2_7,27,1994,east bend,coal,ton,1487708.0,24.194,34.9,34.82,1.447
377,f1_fuel_1994_12_27_2_10,27,1994,east bend #2 cge,coal,ton,1083513.0,24.195999999999998,34.88,33.22,1.4464
378,f1_fuel_1994_12_27_2_14,27,1994,woodsdale,gas,mcf,1386868.0,1.026,3.3,3.3,3.443
379,f1_fuel_1994_12_27_3_1,27,1994,killen #2 total,coal,ton,1255820.0,24.548000000000002,36.33,36.73,1.509
380,f1_fuel_1994_12_27_3_4,27,1994,killen #2 cge share,coal,ton,430663.0,24.556,36.35,36.7,1.51
381,f1_fuel_1994_12_27_4_1,27,1994,zimmer #1 total,coal,ton,35063261.0,24.084,25.39,27.71,1.063
382,f1_fuel_1994_12_27_4_4,27,1994,zimmer #1 cge share,coal,ton,1641744.0,24.084,25.39,24.47,1.064
383,f1_fuel_1994_12_30_0_2,30,1994,ashtabula,coal,ton,843174.0,24.84,35.3,35.32,1.421
384,f1_fuel_1994_12_30_0_5,30,1994,avon lake,coal,ton,1319994.0,25.296,35.14,35.34,1.3893000000000002
385,f1_fuel_1994_12_30_0_11,30,1994,bruce mansfield,coal,ton,1191286.0,24.07,39.95,40.22,1.6596000000000002
386,f1_fuel_1994_12_30_1_8,30,1994,eastlake,coal,ton,1885806.0,25.712,39.71,33.22,1.5444
387,f1_fuel_1994_12_30_1_11,30,1994,lake shore,coal,ton,110612.0,26.916,44.24,49.86,1.6435
388,f1_fuel_1994_12_52_0_2,52,1994,independence,coal,ton,749391.0,17.21,29.284,29.284,1.702
389,f1_fuel_1994_12_52_0_3,52,1994,independence,oil,bbl,12327.0,5.784198,30.721,30.721,5.311
390,f1_fuel_1994_12_52_0_5,52,1994,robert ritchie,gas,mcf,4849531.0,1.001367,1.694,1.694,1.692
391,f1_fuel_1994_12_127_1_13,127,1994,sporn total plant,coal,ton,1338459.0,24.334000000000003,40.14,35.79,1.65
392,f1_fuel_1994_12_127_1_14,127,1994,sporn total plant,oil,bbl,48750.0,5.742827999999999,32.18,30.51,5.604
393,f1_fuel_1994_12_135_0_1,135,1994,eddystone,coal,ton,1151559.0,26.14,42.19,39.61,1.61
394,f1_fuel_1994_12_135_0_2,135,1994,eddystone,gas,mcf,6027964.0,1.031,2.28,2.28,2.21
395,f1_fuel_1994_12_135_0_4,135,1994,cromby,coal,ton,248618.0,26.0,39.1,38.73,1.5
396,f1_fuel_1994_12_135_0_5,135,1994,cromby,gas,mcf,6388459.0,1.031,2.39,2.39,2.32
397,f1_fuel_1994_12_135_0_13,135,1994,keystone,coal,ton,976427.0,24.604,36.05,35.07,1.45
398,f1_fuel_1994_12_135_1_1,135,1994,conemaugh (g),coal,ton,863962.0,24.878,30.12,30.13,1.21
399,f1_fuel_1994_12_135_1_2,135,1994,conemaugh (g),gas,mcf,277277.0,1.03,3.29,3.29,3.19
400,f1_fuel_1994_12_69_0_2,69,1994,daec - 70%,nuclear,gramsU,400262.0,7.8e-05,52.15,0.0,0.67
401,f1_fuel_1994_12_69_0_5,69,1994,daec - 100%,nuclear,gramsU,571804.0,7.8e-05,50.54,0.0,0.66
402,f1_fuel_1994_12_69_0_9,69,1994,"prcr 1,2,3",gas,mcf,17253.0,1.018,3.23,3.23,3.29
403,f1_fuel_1994_12_69_0_10,69,1994,prairie creek #4,coal,ton,564810.0,17.285999999999998,18.53,19.27,1.07
404,f1_fuel_1994_12_69_1_1,69,1994,sixth street,coal,ton,125934.0,21.49,31.94,37.76,1.49
405,f1_fuel_1994_12_69_1_3,69,1994,sixth street,gas,mcf,177254.0,1.021,3.25,3.25,3.32
406,f1_fuel_1994_12_69_1_4,69,1994,sixth street cont.,coal,ton,15393.0,21.462,32.52,20.03,1.51
407,f1_fuel_1994_12_69_1_7,69,1994,sutherland,coal,ton,480879.0,19.376,16.97,13.11,0.88
408,f1_fuel_1994_12_69_1_9,69,1994,sutherland,gas,mcf,543952.0,1.013,2.47,2.47,2.53
409,f1_fuel_1994_12_69_1_13,69,1994,ottumwa,coal,ton,1331036.0,16.666,15.83,15.93,0.95
410,f1_fuel_1994_12_69_2_1,69,1994,george neal #3,coal,ton,460584.0,16.965999999999998,13.45,12.31,0.79
411,f1_fuel_1994_12_69_2_3,69,1994,george neal #3,gas,mcf,17581.0,1.0,3.62,3.62,3.62
412,f1_fuel_1994_12_69_2_6,69,1994,grinnell,gas,mcf,8813.0,1.014,2.47,2.47,2.5
413,f1_fuel_1994_12_69_2_7,69,1994,burlington,coal,ton,570509.0,17.31,16.8,15.56,0.97
414,f1_fuel_1994_12_87_0_2,87,1994,little gypsy,gas,mcf,31770155.0,1.035648,2.311,2.311,2.231
415,f1_fuel_1994_12_87_0_5,87,1994,ninemile point,gas,mcf,52128882.0,1.046509,2.282,2.282,2.181
416,f1_fuel_1994_12_87_0_8,87,1994,sterlingtn,gas,mcf,3509932.0,1.060335,2.004,2.004,1.89
417,f1_fuel_1994_12_87_0_9,87,1994,sterlingtn,oil,bbl,8149.0,5.772228,154.648,154.648,26.792
418,f1_fuel_1994_12_87_0_11,87,1994,waterford 1&2,gas,mcf,24309127.0,1.034127,2.459,2.459,2.378
419,f1_fuel_1994_12_87_0_12,87,1994,waterford 1&2,oil,bbl,102545.0,6.37749,56.644,56.644,8.882
420,f1_fuel_1994_12_87_1_11,87,1994,waterford 3,nuclear,mwhth,25301124.0,3.4126,1.644,0.0,0.482
421,f1_fuel_1994_12_87_2_11,87,1994,buras,gas,mcf,1661.0,1.084889,7.202,7.202,6.638
422,f1_fuel_1994_12_87_2_12,87,1994,buras,oil,bbl,2754.0,5.78466,61.546,61.546,10.64
423,f1_fuel_1994_12_88_0_2,88,1994,mill creek,coal,ton,3209977.0,23.114,27.224,26.083,1.172
424,f1_fuel_1994_12_88_0_5,88,1994,cane run,coal,ton,1129768.0,23.072,27.704,26.913,1.195
425,f1_fuel_1994_12_88_0_8,88,1994,trimble co,coal,ton,1060013.0,22.748,23.396,22.255,1.027
426,f1_fuel_1994_12_88_0_10,88,1994,cane run,gas,mcf,12604.0,1.025,0.027,0.027,2.605
427,f1_fuel_1994_12_88_0_14,88,1994,paddy's run,gas,mcf,16533.0,1.025,2.505,2.505,2.444
428,f1_fuel_1994_12_88_1_5,88,1994,waterside,gas,mcf,14928.0,1.025,2.681,2.681,2.616
429,f1_fuel_1994_12_191_1_10,191,1994,jeffrey,coal,ton,7408150.0,16.462,18.28,18.42,1.111
430,f1_fuel_1994_12_121_0_7,121,1994,bay front,coal,ton,34590.0,13.482,23.559,18.67,1.747
431,f1_fuel_1994_12_121_0_8,121,1994,bay front,gas,mcf,679530.0,1.012026,2.48,2.48,2.447
432,f1_fuel_1994_12_121_0_9,121,1994,bay front,waste,ton,207242.0,0.207242,9.325,8.213,0.877
433,f1_fuel_1994_12_121_0_10,121,1994,flambeau station,gas,mcf,89929.0,1.01925,2.446,2.446,2.4
434,f1_fuel_1994_12_121_0_13,121,1994,french island,waste,ton,120136.0,0.003033,6.682,3.23,1.102
435,f1_fuel_1994_12_121_0_14,121,1994,french island,waste,ton,51728.0,0.005846,-35.1,-35.38,-3.003
436,f1_fuel_1994_12_121_0_15,121,1994,french island,gas,mcf,783.0,1.010603,5.047,5.036,4.994
437,f1_fuel_1994_12_122_0_2,122,1994,big stone (1),coal,ton,531226.0,12.097999999999999,13.28,13.13,1.1
438,f1_fuel_1994_12_122_0_4,122,1994,coyote (1),coal,ton,213552.0,13.844000000000001,11.26,10.99,0.86
439,f1_fuel_1994_12_122_0_7,122,1994,neal #4,coal,ton,248983.0,16.9,12.5,11.95,0.74
440,f1_fuel_1994_12_102_0_4,102,1994,j. e. corette,gas,mcf,511460.0,1.13,1.183,1.183,1.149
441,f1_fuel_1994_12_102_0_5,102,1994,j. e. corette,coal,ton,702946.0,18.131999999999998,12.342,12.342,0.681
442,f1_fuel_1994_12_102_0_13,102,1994,colstrip 3&4,oil,bbl,5671.0,5.922,27.998,27.998,8.34
443,f1_fuel_1994_12_102_0_14,102,1994,colstrip 3&4,coal,ton,2057155.0,17.028000000000002,12.507,12.507,0.734
444,f1_fuel_1994_12_102_1_5,102,1994,colstrip 1&2,coal,ton,1349120.0,17.2,9.702,9.702,0.564
445,f1_fuel_1994_12_122_0_10,122,1994,"huron, gt",gas,mmbtu,10456.0,1.0,2.15,2.15,2.15
446,f1_fuel_1994_12_122_0_13,122,1994,yankton new,gas,mmbtu,3100.0,1.0,3.13,3.13,3.13
447,f1_fuel_1994_12_122_1_10,122,1994,huron ct,gas,mmbtu,42077.0,1.0,2.16,2.16,2.16
448,f1_fuel_1994_12_193_0_2,193,1994,valley - unit 1,coal,ton,192460.0,25.944,43.963,43.963,1.6946
449,f1_fuel_1994_12_193_0_3,193,1994,valley - unit 1,gas,mcf,62138.0,1.01,321.336,321.336,2.4771
450,f1_fuel_1994_12_193_0_5,193,1994,valley - unit 2,coal,ton,233652.0,25.962,44.315,44.315,1.70687
451,f1_fuel_1994_12_193_0_6,193,1994,valley - unit 2,gas,mcf,26232.0,1.01,309.851,309.851,2.6830399999999996
452,f1_fuel_1994_12_193_0_8,193,1994,valley-tot,coal,ton,426112.0,25.954,44.156,44.156,1.8460900000000002
453,f1_fuel_1994_12_193_0_9,193,1994,valley-tot,gas,mcf,88370.0,1.01,289.429,289.429,2.53336
454,f1_fuel_1994_12_193_0_12,193,1994,pt. wash.-unit 1,coal,ton,54199.0,25.308,38.231,38.231,1.51062
455,f1_fuel_1994_12_193_0_15,193,1994,pt. wash-unit 2,coal,ton,81288.0,25.503999999999998,38.236,38.236,1.4991800000000002
456,f1_fuel_1994_12_193_1_3,193,1994,pt. wash-unit 3,coal,ton,83792.0,25.804000000000002,38.228,38.228,1.48148
457,f1_fuel_1994_12_193_1_6,193,1994,pt. wash-unit 4,coal,ton,29323.0,25.902,38.249,38.249,1.47664
458,f1_fuel_1994_12_193_1_11,193,1994,pt. wash-total,gas,mcf,71203.0,1.01,275.188,275.188,2.7328699999999997
459,f1_fuel_1994_12_193_1_12,193,1994,pt. wash-total,coal,ton,248602.0,25.61,38.233,38.233,1.49295
460,f1_fuel_1994_12_193_1_15,193,1994,presque isle-unit 1,coal,ton,1586.0,24.972,42.988,42.988,1.72143
461,f1_fuel_1994_12_193_2_3,193,1994,presque isle-unit 2,coal,ton,5363.0,24.882,40.766,40.766,1.6383400000000001
462,f1_fuel_1994_12_193_2_6,193,1994,presque isle-unit 3,coal,ton,131791.0,25.032,38.804,38.804,1.5502000000000002
463,f1_fuel_1994_12_193_2_9,193,1994,pi-unit 4,coal,ton,127874.0,25.058,38.956,38.956,1.55471
464,f1_fuel_1994_12_193_2_12,193,1994,presque isle-unit 5,coal,ton,209389.0,25.016000000000002,38.425,38.425,1.5360900000000002
465,f1_fuel_1994_12_193_2_15,193,1994,presque isle-unit 6,coal,ton,220399.0,25.062,38.321,38.321,1.52904
466,f1_fuel_1994_12_193_3_3,193,1994,presque isle-unit 7,coal,ton,286088.0,17.988,34.467,34.467,1.91612
467,f1_fuel_1994_12_193_3_6,193,1994,presque isle-unit 8,coal,ton,328765.0,18.002,32.66,32.66,1.81417
468,f1_fuel_1994_12_193_3_9,193,1994,pi-unit 9,coal,ton,317965.0,18.002,34.5,34.5,1.91635
469,f1_fuel_1994_12_193_3_12,193,1994,presque isle-total,coal,ton,1629220.0,21.008,35.871,35.871,1.70749
470,f1_fuel_1994_12_193_3_14,193,1994,so. oak creek-unit 5,gas,mcf,103372.0,1.01,295.31,295.31,2.62632
471,f1_fuel_1994_12_193_3_15,193,1994,so. oak creek-unit 5,coal,ton,505182.0,24.634,38.689,38.689,1.5705000000000002
472,f1_fuel_1994_12_193_4_2,193,1994,so. oak creek-unit 6,gas,mcf,66372.0,1.01,350.981,350.981,2.5051900000000002
473,f1_fuel_1994_12_193_4_3,193,1994,so. oak creek-unit 6,coal,ton,452777.0,24.306,38.806,38.806,1.5965600000000002
474,f1_fuel_1994_12_193_4_5,193,1994,so. oak creek-unit 7,gas,mcf,37646.0,1.01,293.776,293.776,2.7234800000000003
475,f1_fuel_1994_12_193_4_6,193,1994,so. oak creek-unit 7,coal,ton,506278.0,24.186,37.323,37.323,1.5431899999999998
476,f1_fuel_1994_12_193_4_9,193,1994,soc-unit 8,coal,ton,595551.0,24.672,38.735,38.735,1.56997
477,f1_fuel_1994_12_193_4_11,193,1994,so. oak creek-total,gas,mcf,207390.0,1.01,270.683,270.683,2.56339
478,f1_fuel_1994_12_193_4_12,193,1994,so. oak creek-total,coal,ton,2059788.0,24.476000000000003,38.392,38.392,1.56856
479,f1_fuel_1994_12_193_5_8,193,1994,pp-unit 1,gas,mcf,79478.0,1.01,433.59,433.59,2.6382600000000003
