match.id	match.id.slot	duration.min	radiant.win	num.players	player.slot	kills	deaths	assists	gold.p.min	xp.p.min	isRadiant	win	hero.dmg	hero.heal	last.hits	denies	tower.dmg	runes	obs.set	stuns	first.blood	match.kills
5476227881	5476227881|1	37.48	True	10	1	4	0	17	472	713	True	1	16053	0	176	6	1282	13.0	9.0	20.89087	0	40
5476227881	5476227881|2	37.48	True	10	2	4	4	18	498	528	True	1	16540	0	221	8	7952	6.0	1.0	23.347168	0	40
5476227881	5476227881|3	37.48	True	10	3	15	2	8	704	752	True	1	31676	0	323	30	12717	2.0	0.0	9.504053	0	40
5476227881	5476227881|4	37.48	True	10	4	4	1	20	522	584	True	1	28295	0	234	1	1178	6.0	0.0	0.0	0	40
5476227881	5476227881|128	37.48	True	10	128	1	6	7	224	358	False	0	10426	0	74	3	484	2.0	8.0	48.24659	0	40
5476227881	5476227881|129	37.48	True	10	129	0	4	5	377	520	False	0	11719	2002	230	7	662	1.0	0.0	0.0	0	40
5476227881	5476227881|130	37.48	True	10	130	2	7	7	223	301	False	0	6248	3390	51	4	16	5.0	8.0	21.29124	1	40
5476227881	5476227881|131	37.48	True	10	131	4	6	4	417	529	False	0	18449	0	227	15	1574	6.0	2.0	5.01709	0	40
5476227881	5476227881|132	37.48	True	10	132	4	6	2	544	622	False	0	13467	0	382	30	1057	0.0	0.0	3.077117	0	40
5481749820	5481749820|0	32.98	True	10	0	5	6	19	324	416	True	1	7807	356	25	3	106	6.0	9.0	62.501404	1	48
5481749820	5481749820|1	32.98	True	10	1	9	1	18	675	752	True	1	26624	0	277	38	9536	5.0	0.0	0.0	0	48
5481749820	5481749820|2	32.98	True	10	2	7	4	12	570	700	True	1	17001	0	255	42	4540	4.0	1.0	15.189096	0	48
5481749820	5481749820|3	32.98	True	10	3	6	1	17	502	615	True	1	20877	3571	213	18	1583	6.0	0.0	47.37938	0	48
5481749820	5481749820|4	32.98	True	10	4	8	1	17	391	554	True	1	20022	0	75	5	7965	8.0	5.0	0.0	0	48
5481749820	5481749820|128	32.98	True	10	128	4	7	7	300	436	False	0	13370	0	108	1	177	5.0	3.0	-0.57871056	0	48
5481749820	5481749820|129	32.98	True	10	129	4	6	9	376	415	False	0	13080	0	192	1	451	2.0	1.0	44.585194	0	48
5481749820	5481749820|130	32.98	True	10	130	2	8	6	313	355	False	0	13543	9899	144	0	1142	1.0	1.0	0.0	0	48
5481749820	5481749820|131	32.98	True	10	131	3	5	6	488	605	False	0	9498	0	288	9	3538	2.0	0.0	0.0	0	48
5481749820	5481749820|132	32.98	True	10	132	0	9	9	192	222	False	0	5925	369	47	0	0	4.0	9.0	24.934448	0	48
5481754968	5481754968|0	32.32	False	10	0	5	5	12	447	590	True	0	14031	295	218	6	43	4.0	0.0	27.579716	0	62
5481754968	5481754968|1	32.32	False	10	1	4	7	6	393	524	True	0	12219	0	182	9	2693	0.0	0.0	38.931885	0	62
5481754968	5481754968|2	32.32	False	10	2	4	7	9	373	458	True	0	20708	0	159	11	142	6.0	0.0	2.508545	0	62
5481754968	5481754968|3	32.32	False	10	3	8	7	14	339	370	True	0	12726	125	90	4	32	2.0	13.0	40.071793	1	62
5481754968	5481754968|4	32.32	False	10	4	4	11	12	209	262	True	0	8774	292	34	1	146	9.0	2.0	19.815552	0	62
5481754968	5481754968|128	32.32	False	10	128	9	3	9	576	802	False	1	24607	0	244	8	7428	5.0	0.0	25.17854	0	62
5481754968	5481754968|129	32.32	False	10	129	9	8	18	526	534	False	1	29149	0	241	8	848	2.0	0.0	0.0	0	62
