match_id	match_id_slot	duration_min	radiant_win	num_players	player_slot	kills	deaths	assists	gold_per_min	xp_per_min	isRadiant	win	first_blood_kill
5481772311	5481772311|1	22.23	False	10	1	4	4	4	221	270	True	0	0
5481772311	5481772311|2	22.23	False	10	2	2	2	6	294	351	True	0	0
5481772311	5481772311|3	22.23	False	10	3	2	4	2	367	391	True	0	0
5481772311	5481772311|4	22.23	False	10	4	3	3	1	435	487	True	0	0
5481772311	5481772311|128	22.23	False	10	128	2	5	10	364	451	False	1	0
5481772311	5481772311|129	22.23	False	10	129	4	3	6	527	593	False	1	0
5481772311	5481772311|130	22.23	False	10	130	5	3	8	264	324	False	1	0
5481772311	5481772311|131	22.23	False	10	131	7	0	8	558	596	False	1	1
5481772311	5481772311|132	22.23	False	10	132	1	1	11	249	345	False	1	0
5481801088	5481801088|0	33.1	False	10	0	1	6	7	435	534	True	0	0
5481801088	5481801088|1	33.1	False	10	1	2	7	8	396	418	True	0	0
5481801088	5481801088|2	33.1	False	10	2	4	4	11	215	400	True	0	0
5481801088	5481801088|3	33.1	False	10	3	8	4	1	472	591	True	0	0
5481801088	5481801088|4	33.1	False	10	4	1	6	9	254	272	True	0	0
5481801088	5481801088|128	33.1	False	10	128	4	4	14	485	739	False	1	1
5481801088	5481801088|129	33.1	False	10	129	6	5	9	498	670	False	1	0
5481801088	5481801088|130	33.1	False	10	130	11	4	5	593	726	False	1	0
5481801088	5481801088|131	33.1	False	10	131	4	1	18	424	604	False	1	0
5481801088	5481801088|132	33.1	False	10	132	2	3	18	298	469	False	1	0
5481809421	5481809421|0	36.13	True	10	0	4	7	17	279	455	True	1	0
5481809421	5481809421|1	36.13	True	10	1	8	6	15	298	506	True	1	0
5481809421	5481809421|2	36.13	True	10	2	5	4	20	576	730	True	1	0
5481809421	5481809421|3	36.13	True	10	3	5	3	19	435	539	True	1	0
5481809421	5481809421|4	36.13	True	10	4	17	1	16	572	632	True	1	1
5481809421	5481809421|128	36.13	True	10	128	2	11	9	320	358	False	0	0
5481809421	5481809421|129	36.13	True	10	129	9	5	4	547	609	False	0	0
5481809421	5481809421|130	36.13	True	10	130	4	10	7	206	210	False	0	0
5481809421	5481809421|131	36.13	True	10	131	3	4	4	494	529	False	0	0
5481809421	5481809421|132	36.13	True	10	132	2	9	12	188	260	False	0	0
5544713691	5544713691|0	32.83	True	10	0	12	2	18	589	792	True	1	0
5544713691	5544713691|1	32.83	True	10	1	7	7	29	358	500	True	1	0
5544713691	5544713691|2	32.83	True	10	2	14	1	10	788	857	True	1	1
5544713691	5544713691|3	32.83	True	10	3	4	5	22	370	504	True	1	0
5544713691	5544713691|4	32.83	True	10	4	4	4	24	371	569	True	1	0
5544713691	5544713691|128	32.83	True	10	128	1	9	6	213	251	False	0	0
5544713691	5544713691|129	32.83	True	10	129	3	9	11	204	284	False	0	0
5544713691	5544713691|130	32.83	True	10	130	6	8	6	452	507	False	0	0
5544713691	5544713691|131	32.83	True	10	131	2	11	7	335	331	False	0	0
5544713691	5544713691|132	32.83	True	10	132	7	5	5	482	507	False	0	0
5544769798	5544769798|0	32.27	False	10	0	0	9	6	382	443	True	0	0
5544769798	5544769798|1	32.27	False	10	1	5	8	4	368	412	True	0	0
5544769798	5544769798|2	32.27	False	10	2	0	10	9	200	249	True	0	0
5544769798	5544769798|3	32.27	False	10	3	3	8	5	238	361	True	0	0
5544769798	5544769798|4	32.27	False	10	4	6	8	1	488	563	True	0	0
5544769798	5544769798|128	32.27	False	10	128	4	5	17	336	445	False	1	0
5544769798	5544769798|129	32.27	False	10	129	1	4	29	299	545	False	1	0
5544769798	5544769798|130	32.27	False	10	130	13	2	18	557	758	False	1	0
5544769798	5544769798|131	32.27	False	10	131	19	0	18	742	952	False	1	1
5544769798	5544769798|132	32.27	False	10	132	6	3	26	459	697	False	1	0
5545964222	5545964222|0	22.77	False	10	0	1	5	3	234	298	True	0	0
5545964222	5545964222|1	22.77	False	10	1	0	5	1	295	341	True	0	0
5545964222	5545964222|2	22.77	False	10	2	4	8	4	235	263	True	0	0
5545964222	5545964222|3	22.77	False	10	3	2	5	5	410	460	True	0	0
5545964222	5545964222|4	22.77	False	10	4	1	6	5	406	404	True	0	0
5545964222	5545964222|128	22.77	False	10	128	9	1	7	559	693	False	1	1
5545964222	5545964222|129	22.77	False	10	129	4	2	15	541	645	False	1	0
5545964222	5545964222|130	22.77	False	10	130	8	1	14	644	665	False	1	0
5545964222	5545964222|131	22.77	False	10	131	4	1	11	340	457	False	1	0
5545964222	5545964222|132	22.77	False	10	132	4	3	13	304	296	False	1	0
5546020044	5546020044|0	28.25	False	10	0	3	5	4	444	518	True	0	0
5546020044	5546020044|1	28.25	False	10	1	3	9	3	352	379	True	0	0
5546020044	5546020044|2	28.25	False	10	2	3	9	7	233	325	True	0	0
5546020044	5546020044|3	28.25	False	10	3	4	6	5	483	558	True	0	0
5546020044	5546020044|4	28.25	False	10	4	1	10	8	249	244	True	0	0
5546020044	5546020044|128	28.25	False	10	128	3	5	17	428	385	False	1	0
5546020044	5546020044|129	28.25	False	10	129	15	1	10	513	596	False	1	1
5546020044	5546020044|130	28.25	False	10	130	1	4	22	329	575	False	1	0
5546020044	5546020044|131	28.25	False	10	131	13	4	13	521	567	False	1	0
5546020044	5546020044|132	28.25	False	10	132	7	0	12	780	855	False	1	0
5546067675	5546067675|0	47.13	False	10	0	13	6	12	537	583	True	0	0
5546067675	5546067675|1	47.13	False	10	1	9	5	20	573	713	True	0	0
5546067675	5546067675|2	47.13	False	10	2	16	4	7	423	513	True	0	0
5546067675	5546067675|3	47.13	False	10	3	3	7	21	271	406	True	0	0
5546067675	5546067675|4	47.13	False	10	4	3	9	18	255	332	True	0	0
5546067675	5546067675|128	47.13	False	10	128	0	15	14	329	432	False	1	0
5546067675	5546067675|129	47.13	False	10	129	3	9	15	323	510	False	1	0
5546067675	5546067675|130	47.13	False	10	130	9	6	13	590	708	False	1	0
5546067675	5546067675|131	47.13	False	10	131	2	11	16	241	462	False	1	0
5546067675	5546067675|132	47.13	False	10	132	17	4	8	775	737	False	1	1
5579110778	5579110778|0	9.75	False	10	0	1	4	2	145	86	True	0	0
5579110778	5579110778|1	9.75	False	10	1	0	1	0	338	425	True	0	0
5579110778	5579110778|2	9.75	False	10	2	1	3	2	259	276	True	0	0
5579110778	5579110778|3	9.75	False	10	3	1	3	2	161	174	True	0	0
5579110778	5579110778|4	9.75	False	10	4	2	2	0	296	273	True	0	0
5579110778	5579110778|128	9.75	False	10	128	0	4	3	191	149	False	1	0
5579110778	5579110778|129	9.75	False	10	129	4	0	3	318	289	False	1	0
5579110778	5579110778|130	9.75	False	10	130	3	0	3	347	386	False	1	1
5579110778	5579110778|131	9.75	False	10	131	0	1	4	292	287	False	1	0
5579110778	5579110778|132	9.75	False	10	132	4	0	2	458	547	False	1	0
5579135423	5579135423|0	64.6	True	10	0	19	5	15	878	783	True	1	1
5579135423	5579135423|1	64.6	True	10	1	4	9	20	387	593	True	1	0
5579135423	5579135423|2	64.6	True	10	2	10	8	14	613	740	True	1	0
5579135423	5579135423|3	64.6	True	10	3	4	10	27	458	533	True	1	0
5579135423	5579135423|4	64.6	True	10	4	2	6	20	355	483	True	1	0
5579135423	5579135423|128	64.6	True	10	128	4	10	28	369	654	False	0	0
5579135423	5579135423|129	64.6	True	10	129	16	5	11	626	655	False	0	0
5579135423	5579135423|130	64.6	True	10	130	2	11	22	399	537	False	0	0
5579135423	5579135423|131	64.6	True	10	131	13	4	17	884	708	False	0	0
5579135423	5579135423|132	64.6	True	10	132	2	10	24	282	469	False	0	0
5579155740	5579155740|0	23.6	True	10	0	5	3	16	298	398	True	1	0
5579155740	5579155740|1	23.6	True	10	1	1	5	11	280	414	True	1	0
5579155740	5579155740|2	23.6	True	10	2	6	0	13	499	646	True	1	0
5579155740	5579155740|3	23.6	True	10	3	6	3	6	425	513	True	1	0
5579155740	5579155740|4	23.6	True	10	4	11	0	14	608	730	True	1	1
5579155740	5579155740|128	23.6	True	10	128	2	5	3	487	579	False	0	0
5579155740	5579155740|129	23.6	True	10	129	4	3	4	449	461	False	0	0
5579155740	5579155740|130	23.6	True	10	130	2	8	7	195	199	False	0	0
5579155740	5579155740|131	23.6	True	10	131	2	5	4	288	392	False	0	0
5579155740	5579155740|132	23.6	True	10	132	1	8	6	203	282	False	0	0
5579265745	5579265745|0	35.95	False	10	0	4	1	4	476	533	True	0	0
5579265745	5579265745|1	35.95	False	10	1	0	5	6	231	355	True	0	0
5579265745	5579265745|2	35.95	False	10	2	5	6	0	613	668	True	0	0
5579265745	5579265745|3	35.95	False	10	3	2	3	7	382	346	True	0	0
5579265745	5579265745|4	35.95	False	10	4	0	5	6	236	299	True	0	0
5579265745	5579265745|128	35.95	False	10	128	5	2	10	773	900	False	1	0
5579265745	5579265745|129	35.95	False	10	129	4	2	11	310	506	False	1	0
5579265745	5579265745|130	35.95	False	10	130	2	4	12	427	492	False	1	0
5579265745	5579265745|131	35.95	False	10	131	4	0	5	679	813	False	1	1
5579265745	5579265745|132	35.95	False	10	132	5	4	8	282	318	False	1	0
5579342689	5579342689|0	42.87	True	10	0	1	7	31	349	517	True	1	0
5579342689	5579342689|1	42.87	True	10	1	7	7	25	457	617	True	1	0
5579342689	5579342689|2	42.87	True	10	2	15	1	25	738	816	True	1	1
5579342689	5579342689|3	42.87	True	10	3	21	1	22	801	806	True	1	0
5579342689	5579342689|4	42.87	True	10	4	3	4	30	405	669	True	1	0
5579342689	5579342689|128	42.87	True	10	128	1	15	7	228	233	False	0	0
5579342689	5579342689|129	42.87	True	10	129	7	9	9	254	434	False	0	0
5579342689	5579342689|130	42.87	True	10	130	2	8	11	390	576	False	0	0
5579342689	5579342689|131	42.87	True	10	131	6	12	9	321	344	False	0	0
5579342689	5579342689|132	42.87	True	10	132	4	4	7	661	665	False	0	0
5549756490	5549756490|0	34.05	False	10	0	0	11	8	202	284	True	0	0
5549756490	5549756490|1	34.05	False	10	1	3	5	9	410	548	True	0	0
5549756490	5549756490|2	34.05	False	10	2	1	6	9	310	435	True	0	0
5549756490	5549756490|3	34.05	False	10	3	4	12	8	275	391	True	0	0
5549756490	5549756490|4	34.05	False	10	4	7	5	8	647	570	True	0	0
5549756490	5549756490|128	34.05	False	10	128	19	1	12	737	848	False	1	1
5549756490	5549756490|129	34.05	False	10	129	9	2	19	632	846	False	1	0
5549756490	5549756490|130	34.05	False	10	130	3	3	27	514	564	False	1	0
5549756490	5549756490|131	34.05	False	10	131	5	4	18	370	495	False	1	0
5549756490	5549756490|132	34.05	False	10	132	3	5	15	260	424	False	1	0
5549800427	5549800427|0	33.87	True	10	0	8	2	17	576	720	True	1	0
5549800427	5549800427|1	33.87	True	10	1	7	6	18	318	329	True	1	0
5549800427	5549800427|2	33.87	True	10	2	5	4	11	525	721	True	1	0
5549800427	5549800427|3	33.87	True	10	3	9	2	20	373	609	True	1	1
5549800427	5549800427|4	33.87	True	10	4	7	3	17	703	607	True	1	0
5549800427	5549800427|128	33.87	True	10	128	7	3	9	640	644	False	0	0
5549800427	5549800427|129	33.87	True	10	129	2	8	6	378	445	False	0	0
5549800427	5549800427|130	33.87	True	10	130	3	7	9	417	462	False	0	0
5549800427	5549800427|131	33.87	True	10	131	1	8	11	195	410	False	0	0
5549800427	5549800427|132	33.87	True	10	132	4	11	7	234	319	False	0	0
5550886262	5550886262|0	35.9	True	10	0	2	3	16	425	461	True	1	0
5550886262	5550886262|1	35.9	True	10	1	11	2	15	697	726	True	1	0
5550886262	5550886262|2	35.9	True	10	2	19	2	6	711	838	True	1	1
5550886262	5550886262|3	35.9	True	10	3	1	5	15	325	421	True	1	0
5550886262	5550886262|4	35.9	True	10	4	2	2	17	469	632	True	1	0
5550886262	5550886262|128	35.9	True	10	128	1	10	7	225	272	False	0	0
5550886262	5550886262|129	35.9	True	10	129	2	6	7	349	325	False	0	0
5550886262	5550886262|130	35.9	True	10	130	3	8	6	254	318	False	0	0
5550886262	5550886262|131	35.9	True	10	131	1	8	8	333	427	False	0	0
5550886262	5550886262|132	35.9	True	10	132	6	3	2	752	796	False	0	0
5551593923	5551593923|0	28.12	False	10	0	2	5	14	295	365	True	0	0
5551593923	5551593923|1	28.12	False	10	1	1	8	8	386	378	True	0	0
5551593923	5551593923|2	28.12	False	10	2	5	8	5	231	257	True	0	0
5551593923	5551593923|3	28.12	False	10	3	6	6	10	418	451	True	0	0
5551593923	5551593923|4	28.12	False	10	4	6	8	8	437	569	True	0	0
5551593923	5551593923|128	28.12	False	10	128	4	7	16	350	480	False	1	0
5551593923	5551593923|129	28.12	False	10	129	5	4	20	288	474	False	1	0
5551593923	5551593923|130	28.12	False	10	130	8	4	11	586	689	False	1	1
5551593923	5551593923|131	28.12	False	10	131	6	4	19	474	537	False	1	0
5551593923	5551593923|132	28.12	False	10	132	9	2	13	598	842	False	1	0
5551641642	5551641642|0	14.12	True	10	0	4	1	14	363	430	True	1	0
5551641642	5551641642|1	14.12	True	10	1	1	4	18	287	437	True	1	0
5551641642	5551641642|2	14.12	True	10	2	15	1	8	523	570	True	1	1
5551641642	5551641642|3	14.12	True	10	3	5	3	11	429	425	True	1	0
5551641642	5551641642|4	14.12	True	10	4	5	1	3	500	455	True	1	0
5551641642	5551641642|128	14.12	True	10	128	2	6	3	230	269	False	0	0
5551641642	5551641642|129	14.12	True	10	129	2	5	4	324	302	False	0	0
5551641642	5551641642|130	14.12	True	10	130	1	6	3	234	276	False	0	0
5551641642	5551641642|131	14.12	True	10	131	1	7	3	296	314	False	0	0
5551641642	5551641642|132	14.12	True	10	132	3	7	2	221	253	False	0	0
5612696527	5612696527|0	33.57	False	10	0	2	10	7	367	435	True	0	0
5612696527	5612696527|1	33.57	False	10	1	3	8	6	467	588	True	0	0
5612696527	5612696527|2	33.57	False	10	2	2	11	6	180	221	True	0	0
5612696527	5612696527|3	33.57	False	10	3	0	5	8	267	404	True	0	0
5612696527	5612696527|4	33.57	False	10	4	7	3	2	560	640	True	0	0
5612696527	5612696527|128	33.57	False	10	128	7	5	15	328	371	False	1	0
5612696527	5612696527|129	33.57	False	10	129	5	4	24	379	624	False	1	0
5612696527	5612696527|130	33.57	False	10	130	11	2	18	596	745	False	1	1
5612696527	5612696527|131	33.57	False	10	131	2	2	26	549	614	False	1	0
5612696527	5612696527|132	33.57	False	10	132	12	1	10	793	851	False	1	0
5612778833	5612778833|0	31.58	True	10	0	4	5	17	547	720	True	1	0
5612778833	5612778833|1	31.58	True	10	1	11	1	14	723	930	True	1	0
5612778833	5612778833|2	31.58	True	10	2	4	6	23	360	609	True	1	0
5612778833	5612778833|3	31.58	True	10	3	3	9	29	326	541	True	1	0
5612778833	5612778833|4	31.58	True	10	4	23	3	17	752	930	True	1	1
5612778833	5612778833|128	31.58	True	10	128	2	10	6	258	329	False	0	0
5612778833	5612778833|129	31.58	True	10	129	7	7	11	280	471	False	0	0
5612778833	5612778833|130	31.58	True	10	130	2	6	5	433	588	False	0	0
5612778833	5612778833|131	31.58	True	10	131	4	13	11	337	410	False	0	0
5612778833	5612778833|132	31.58	True	10	132	9	9	4	441	522	False	0	0
5613633255	5613633255|0	31.18	True	10	0	7	0	8	765	579	True	1	0
5613633255	5613633255|1	31.18	True	10	1	20	1	11	611	747	True	1	1
5613633255	5613633255|2	31.18	True	10	2	5	1	20	420	531	True	1	0
5613633255	5613633255|3	31.18	True	10	3	9	1	10	439	503	True	1	0
5613633255	5613633255|4	31.18	True	10	4	3	6	16	340	386	True	1	0
5613633255	5613633255|128	31.18	True	10	128	0	13	4	173	230	False	0	0
5613633255	5613633255|129	31.18	True	10	129	0	7	5	266	284	False	0	0
5613633255	5613633255|130	31.18	True	10	130	2	11	2	217	225	False	0	0
5613633255	5613633255|131	31.18	True	10	131	2	8	3	401	473	False	0	0
5613633255	5613633255|132	31.18	True	10	132	5	5	2	572	681	False	0	0
5613672956	5613672956|0	50.78	True	10	0	18	6	15	685	618	True	1	1
5613672956	5613672956|1	50.78	True	10	1	8	13	22	406	564	True	1	0
5613672956	5613672956|2	50.78	True	10	2	12	3	21	705	636	True	1	0
5613672956	5613672956|3	50.78	True	10	3	3	6	27	298	564	True	1	0
5613672956	5613672956|4	50.78	True	10	4	6	8	38	354	564	True	1	0
